Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating,Is Special,Activity Price,Activity Group,Activity Group (Arabic),Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-02347,Non-Freezone,100005134,"Household Articles, Appliances Trading",تجارة الأدوات والأجهزة المنزلية والأثاث,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-07596,Non-Freezone,2640003,Household-Type Video Cameras Manufacturing,صناعة آلات تصوير الفيديو من النوع المنزلي,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Home appliance industry,صناعة الأجهزة المنزلية,Home appliance industry,صناعة الأجهزة المنزلية,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05878,Freezone,513911,Household Utensils Trading,تجارة الادوات والاواني المنزلية,Active,,Commercial,تجارية,-,Low,,Standard,,Home appliances trading,تجارة الادوات المنزليه,,,"Includes reselling of various household utensils made of metal, glass, plastic, crystal, clay, ceramic, or wood, including bowls, plates, cups, and other food preparing items, except electrically operated appliances and utensils which are classified under activity No. 5139-15. This also involves manual cleaners such as brooms, sweepers, garbage boxes, ironing boards, clothes horses and others.",هي إعادة بيع الأدوات والأواني المنزلية المختلفة الأنواع سواء المصنوع منها من المعادن أو الزجاج أو البلاستيك أو الكريستال أو الفخار أو السيراميك أو من الخشب، ومنها القدور والأطباق والأواني والأكواب وأدوات تجهيز الطعام وغيرها، باستثناء الأجهزة والأواني التي تعمل بالكهرباء فقد صنفت ضمن النشاط 06-5134، وكذلك إعادة بيع أدوات التنظيف اليدوية من مكانس ومساحات زجاج ومساحات أرضيات وصناديق قمامة وطاولات للكي، وقوائم تجفيف الملابس وغيرها.,,
AM-01325,Non-Freezone,8299011,House Horticulture Services,خدمات البستنة المنزلية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,Ministry of Climate Change & Environment
AM-01483,Non-Freezone,2021001,House Pesticides Manufacturing,صناعة المبيدات الحشرية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, Ministry of Climate Change and Environment"
AM-02348,Non-Freezone,100513402,Houseware Trading,تجارة الأدوات والأواني المنزلية,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-08166,Non-Freezone,7110206,Housing Engineering Consultancy,استشارات هندسية فى الإسكان,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Consulting - Engineering and Architecture,الإستشارات - الهندسة والعمارة,Consulting - Engineering and Architecture,الإستشارات - الهندسة والعمارة,,,Certified_Academic_Degree,
AM-03660,Non-Freezone,7110206,Housing Engineering Consultancy,استشارات هندسية فى الإسكان,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-08130,Non-Freezone,7020008,Human Resources Consultancy,استشارات الموارد البشرية,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,HR Consulting,استشارات الموارد البشرية,HR Consulting,استشارات الموارد البشرية,,,,
AM-01906,Freezone,RAKEZ /2017/10,Human Resources Consultancy,إستشارات في الموارد البشرية,Active,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,,,"Includes firms specialized in preparing studies and consultancies concerning manpower planning as well as improving its performance through studying the problems encounter the employee. These problems could be technical, psychological or behavioral. The process involves analyzing the problem and then seek the proper solution by means of reports, advising, consulting, designing of professional and administrative programs and to propose the adequate training to overcome the employee problems and enhancing his performance, such firms are neither allowed to conduct field surveys and questionnaire prior getting approval from the competent authority, nor practice labor recruitment and employment brokerage or temporary employment, or a related field, the minimal qualifications required is bachelor degree in Business Administration or Economics or a related discipline, along with three years hands-on experience.",دراسة المشاكل الوظيفية التي تواجه الموظف أثناء تأديته لمهام وظيفته سواء أكانت فنية أو نفسية أو سلوكية وتشخيصها وتحديد المشكلة وتقديم الحلول المناسبة لتلافيها ويشمل ذلك إعداد التقارير وإسداء النصح والمشورة وتصميم البرامج المهنية والادارية واقتراح الدورات التدريبية لمساعدة الموظف في التغلب على تلك المشكلات وأداء عمله بشكل أفضل، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة، لايحق لهذه المنشآت ممارسة أنشطة مكاتب التوسط لتوريد العمالة أو التوظيف ولا ممارسة التوظيف المؤقت، المؤهلات المطلوبة لممارسة هذا النشاط بكالوريوس في إدارة الأعمال أوالإقتصاد أو مايعادلها كحد أدنى وخبرة لاتقل عن ثلاث سنوات في نفس المجال.,Certified_Academic_Degree,"1.Standalone Activity. 2. Special Activity Fee AED 6,500/- to be charged for New Registration and Amendment Activity (Existing Clients) Cases 3.Company's manager should be UAE-resident OR should have visa under RAKEZ within six (6) months from the date of registration if he he/she has no UAE visa. 4. Undertaking not to conduct field surveys and questionnaire prior getting approval from the competent authority, nor practice labor recruitment and employment brokerage or temporary employment or a related field."
AM-02209,Non-Freezone,7020008,Human Resources Consultancy,استشارات الموارد البشرية,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-04751,Freezone,741406,Human Resources Consultancy,استشارات الموارد البشرية,Inactive,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,,,"Includes firms specialized in preparing studies and consultancies concerning manpower planning as well as improving its performance through studying the problems encounter the employee. These problems could be technical, psychological or behavioral. The process involves analyzing the problem and then seek the proper solution by means of reports, advising, consulting, designing of professional and administrative programs and to propose the adequate training to overcome the employee problems and enhancing his performance, such firms are neither allowed to conduct field surveys and questionnaire prior getting approval from the competent authority, nor practice labor recruitment and employment brokerage or temporary employment, or a related field, the minimal qualifications required is bachelor degree in Business Administration or Economics or a related discipline , along with three years hands-on experience.",دراسة المشاكل الوظيفية التي تواجه الموظف أثناء تأديته لمهام وظيفته سواء أكانت فنية أو نفسية أو سلوكية وتشخيصها وتحديد المشكلة وتقديم الحلول المناسبة لتلافيها ويشمل ذلك إعداد التقارير وإسداء النصح والمشورة وتصميم البرامج المهنية والادارية واقتراح الدورات التدريبية لمساعدة الموظف في التغلب على تلك المشكلات وأداء عمله بشكل أفضل، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة، لايحق لهذه المنشآت ممارسة أنشطة مكاتب التوسط لتوريد العمالة أو التوظيف ولا ممارسة التوظيف المؤقت، المؤهلات المطلوبة لممارسة هذا النشاط بكالوريوس في إدارة الأعمال أوالإقتصاد أو مايعادلها كحد أدنى وخبرة لاتقل عن ثلاث سنوات في نفس المجال.,,
AM-04434,Non-Freezone,7810003,Human service delivery of medical cadres,خدمات التزويد بالكوادر البشرية الطبية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,Ministry of Human Resources & Emiratisation
AM-05542,Non-Freezone,9312009,Hunting Club,نادي صيد بالصقور,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,General Authority of Sports
AM-01908,Freezone,9312009,Hunting Club,نادي صيد بالصقور,Inactive,,Services,خدمية,-,,,,,Sport Club,النوادي الرياضية,,,Hunting Club,نادي صيد بالصقور,,General Authority of Sports
AM-08418,Non-Freezone,4690017,Hunting equipment and supplies trade - wholesale,تجارة معدات و أدوات الصيد البري – بالجملة,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,General Trading,التجارة العامة,General Trading,التجارة العامة,,,,Directorate General of RAK Police
AM-06598,Non-Freezone,2520002,Hunt Weapons Manufacturing,صناعة أسلحة الصيد,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial1,,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, Ministry of Defence"
AM-05085,Non-Freezone,2819902,Hydraulic Compressors and Equipment Manufacturing,صناعة المكابس والمعدات الهيدروليكية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04196,Freezone,742125,Hydraulic Engineering Consultancy,هندسة ميكانيكا السوائل,Active,,Services,خدمية,-,Low,,Standard,,Other engineering services,خدمات هندسية اخرى,,,"Includes providing engineering supports and services to gas, thermo and hydro electric generating stations, to auto engineering, internal combustion engines and water pumping units with regard to hydraulic mechanics, air propelling, conditioning and cooling systems.",يشمل الانشطة والخدمات الهندسية التي تقدم لمحطات توليد الكهرباء الغازية والحرارية والمائية وهندسة السيارات ومحركات الاحتراق الداخلي ووحدات ضخ المياه في مجالات ميكانيكا المواقع ونظم الدفع وتجديد الهواء وتكييفة ونظم تكييف الهواء,Certified_Academic_Degree,
AM-02119,Non-Freezone,2816002,Hydraulic Forklift Manufacturing,صناعة الرافعات الهيدروليكية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04197,Freezone,742145,Hydrographic Engineering Surveying Consultancy,هندسة المساحة البحرية,Active,,Services,خدمية,-,Low,,Standard,,Other engineering services,خدمات هندسية اخرى,,,"Includes mapping of seabed, execution of all types of hydrographic survey related works, participation in different construction projects inside water or coastlines, preparation of all kind of hydrographic maps with different scales, production of tidal charts.",يشمل المنشآت التي تقوم بعمليات المعاينة والمسوحات وتقديم الاستشارات والتقارير الفنية وإعداد الرسومات والتصاميم في الجوانب المتعلقة بالتركيبات والإنشاءات البحرية كخطوط الأنابيب المغمورة تحت الماء، والكوابل، والإنشاءات المشيدة في البحار، كما يشمل تقديم الاستشارات في مجال البحث والتنقيب عن الثروات الطبيعية تحت سطح البحر.,Certified_Academic_Degree,
AM-07021,Non-Freezone,1050006,Ice Cream Manufacturing,صناعة المثلجات,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Food Industry,صناعة المنتجات الغذائية,Food Industry,صناعة المنتجات الغذائية,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, RAK Municipality- Public Health Department"
AM-01909,Freezone,1520-06,Ice Cream Manufacturing,صناعة المثلجات,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Food industries,الصناعات الغذائية,,,"Includes manufacturing ice cream and iced cakes and sweets, which use ice cream in processing.",تشمل صناعة أنواع المثلجات (الآيس كريم) وأنواع الكعك والحلويات المثلجة والتي يستخدم الآيس كريم في تحضيرها وإنتاجها.,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05185,Non-Freezone,1050006,Ice Cream Manufacturing,صناعة المثلجات,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-02898,Freezone,5520-06,Ice-Cream Shop,بيع المثلجات,Active,,Commercial,تجارية,-,Low,,Standard,,Restaurants and coffee shops,المطاعم والمقاهي,,,"Includes shops which prepare and sell ice cream to the public for immediate consumption, factories which produce ice cream on commercial scale and in standard size packs are classified under (1520).","يشمل المحال التي تعمل في مجال تحضير أنواع المثلجات (الآيس كريم) لتقديمها للجمهور للإستهلاك الفوري, أما المصانع التي تقوم بإنتاج المثلجات على مستوى تجاري في عبوات ذات أحجام نمطية فقد صنفت ضمن الفصل 1520 .",,RAK Municipality- Public Health Department
AM-01911,Freezone,5122-18,Ice Cream Trading,تجارة المثلجات,Active,,Commercial,تجارية,-,Low,,Standard,,Foodstuff trading,تجاره المواد الغذائيه,,,"Includes reselling made from dairy products, such as milk and cream, and combined with fruits or other ingredients and flavors.",يشمل إعادة بيع جميع أنواع المثلجات (الآيس كريم) المعد من منتجات الألبان المخلوطة بالفواكه والنكهات المختلفة.,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-02399,Non-Freezone,5610008,Ice Cream Trading,تجارة الايس كريم,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-02398,Non-Freezone,5610007,Iced Beverages Selling,بيع المثلجات,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,RAK Municipality- Public Health Department
AM-01912,Freezone,1549-02,Ice Manufacturing,صناعة الثلج,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Food industries,الصناعات الغذائية,,,"Includes producing in blocks, and tubular types to use in food storage and processing, chemical manufacturing, concrete mixing.",يشمل إنتاج الثلج على شكل ألواح أو مكعبات أو أنبوبي وذلك لإستخدامه في صناعة وحفظ المواد الغذائية، صناعة الكيماويات، الخرسانة الجاهزة وغيرها.,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03048,Non-Freezone,1079003,Ice Manufacturing,صناعة الثلج,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06059,Non-Freezone,100154902,Ice Manufacturing,صناعة الثلج,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV_Certificate_GENERAL_RESOURCES_AUTHORITY"
AM-07052,Non-Freezone,1079003,Ice Production,إنتاج الثلج,Inactive,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Industrial,صنــــــــاعيـــة,,,,,,"RAK Municipality- Public Health Department, ENVIRONMENT_PROTECTION_&_DEVELOPMENT_AUTHORITY, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08518,Non-Freezone,3530003, Ice Production,إنتاج الثلج,Active,,Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Chemical industry,صناعة الكيماويات,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, RAK Municipality-Public Health Department, CCTV Certificate from General Resources Authority"
AM-03061,Non-Freezone,8541005,Ice Skating Training,التدريب على التزلج على الجليد,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,General Authority of Sports
AM-03675,Freezone,924133,Ice Skating Training,التدريب على التزلج على الجليد,Inactive,,Educational,تعليمية  ,-,,,Standard,"10,000",Training Instititute / Educational consultancy,معهد التدريب / إستشارات تعليمية,,,"Includes firms specialized in providing off and on ice skating training for beginners to acquire the basic skills of skating , as well as offering sessions for advanced levels on ice dance or ice hokey, whether for entertainment or contests.","يشمل المنشآت التي تقوم نيابة عن الإتحادات والهيئات والأندية الرياضية والثقافية بتسويق وترويج البطولات والمهرجانات وكافة الفعاليات التي تقيمها تلك الجهات وذلك بغرض إستقطاب وإيجاد رعاة رسميون يقومون برعاية تلك الفعاليات, كما يشمل متابعة كل الأمور التي تترتب على التعاقدات اللاحقة.",,General Authority of Sports
AM-01129,Non-Freezone,4630209,Ice Trading,تجارة الثلج - بالجملة,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-01914,Freezone,5122-27,Ice Trading,تجارة الثلج,Active,,Commercial,تجارية,-,Low,,Standard,,Foodstuff trading,تجاره المواد الغذائيه,Food trade,تجارة المواد الغذائية,"Includes reselling ice in blocks, and tubular types to use in food storage and processing, chemical manufacturing, concrete mixing.",يشمل إعادة بيع الثلج على شكل ألواح أو مكعبات أو أنبوبي وذلك لإستخدامه في صناعة وحفظ المواد الغذائية، صناعة الكيماويات، الخرسانة الجاهزة وغيرها.,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-08649,Non-Freezone,4630209,Ice Trading,تجارة الثلج - بالجملة,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,General Trading,التجارة العامة,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-02336,Non-Freezone,100512227,Ice Trading,تجارة الثلج,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,For Warehouse & Land: RAK Municipality- Public Health Department
AM-08393,Freelance Permit,3553311,ICT Trainer,مدرب تكنولوجيا المعلومات والاتصالات,Active,,Freelance Permit,تصريح حر,-,Low,,,,Education,تعليمية  ,,,"Provide training in the use of software packages and information systems that are used in an organization. This includes how to operate, configure, and maintain new technology.",توفير التدريب على استخدام حزم البرمجيات وأنظمة المعلومات المستخدمة في المؤسسة. يتضمن ذلك كيفية تشغيل التكنولوجيا الجديدة وتهيئتها وصيانتها.,A university degree and proven related professional experience,Academic Zone
AM-07784,Non-Freezone,3520002,Illumination Gas Production,إنتاج غاز الاستصباح,Active,"150,000",Industrial,صنــــــــاعيـــة,-,High,,Standard,,Chemical industry,صناعة الكيماويات,Chemical industry,صناعة الكيماويات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-02943,Non-Freezone,3520002,Illumination Gas Production,إنتاج غاز الاستصباح,Inactive,,Industrial,صناعية,-,High,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08966,Freezone,100110,Image/Video sharing platform,منصة مشاركة الصور/الفيديو,Active,,Media,اعلام,-,,,Standard,,General Media,الإعلام العامة,,,"An online visual discovery engine enabling users to upload, convert, store and play back video content, and share ideas, digital photos/videos, and posts",,,
AM-08856,Non-Freezone,1312006,Imitation Fur by Weaving Manufacturing,صناعة الفراء المقلَّد بالنسج,Active,"150,000",Industrial,صنــــــــاعيـــة,ESR,,,Standard,,Textile industry and its products,صناعة النسيج ومنتجاته,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04960,Non-Freezone,100380103,Imitation Jewellery Smithing,صياغة الحلي من غير المعادن الثمينة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,"Department of Civil Defense, General Resources Authority-CCTV"
AM-04873,Freezone,513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة,Active,,Commercial,تجارية,-,Low,,Standard,,Ready made garments qroup,مجموعة الملابس الجاهزة,,,"Includes reselling costume or imitation jewellery, such as brooches, earnings, necklaces, bracelets, rings made from base metals plated with precious metals, or jewellery containing imitation stones such as imitation gems stones, imitation diamonds.",يشمل إعادة بيع الحلي والمصوغات المقلدة المستخدمة لأغراض الزينة مثل البروش، الأقراط،القلائد، الأسورة، الأقراط، الخواتم والتي تتم صناعتها من المعادن العاديةويتم طلائها بالمعادن الثمينة، وأيضا المصوغات من الأحجار الكريمة والماس المقلد.,,
AM-01503,Non-Freezone,7490013,IMMIGRATION SERVICE,خدمات الهجرة,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,Certified_Academic_Degree,
AM-02227,Non-Freezone,9000109,implementation of the festivals and performing arts and music,تنفيذ المهرجانات والفنون الأدائية والموسيقية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-02231,Non-Freezone,9000113,implementation of the Fine Arts Festival,تنفيذ مهرجانات الفنون التشكيلية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-02230,Non-Freezone,9000112,implementation of the literary festivals,تنفيذ المهرجانات الأدبية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-07468,Non-Freezone,4610008,Importing,استيراد,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,Car Rental,تأجير السيارات,Trade in cosmetics and child care,تجارة أدوات التجميل والعناية بالأطفال,,,,
AM-05032,Non-Freezone,4610008,Importing,استيراد,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-09046,Freezone,4610008,Importing,استيراد,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,Importing,استيراد,,,,,,"For Warehouse & Land: Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01616,Non-Freezone,8291003,Importing Services of Taxes Paid Abroad,خدمات استرداد الضرائب المدفوعة في الخارج,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-01732,Freezone,6304-12,In Bound Tour Operator,منظم رحلات سياحية داخلية,Inactive,,Services,خدمية,-,,,Standard,,Tourism Activites,الانشطة السياحية,,,"Includes firms that organize local incentive tours or tours for foreigners to attend conferences and events, it involves handling visas, transport and residence.","يشمل المنشآت التي تنظم البرامج السياحية الداخلية للسياح الأجانب , بما فيها سياحة الحوافز وسياحة الوافدين للمؤتمرات والمعارض والفعاليات المحلية, وتشمل الخدمات المقدمة إستخراج التأشيرات وتوفير المواصلات والإقامة في المنشآت الفندقية وغيرها من الخدمات.",,Tourism Development Authority
AM-02043,Non-Freezone,130003,Indoor Decoration Plants and Seedlings (Nurseries) Cultivation,زراعة شتلات الأشجار ونباتات الزينة ( مشاتل ),Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,Ministry of Climate Change & Environment
AM-06601,Non-Freezone,910016,"Industrial, Oil and Gas Facilities Corrosion and Oxidation Resistant Services",خدمات مقاومة الصدأ و التآكل للمنشآت الصناعية و البترولية و الغازية,Inactive,,Professional,مهنية,-,,,Standard,,Professional1,,,,,,,
AM-07647,Non-Freezone,2815001,"Industrial and Laboratory Furnaces, Ovens, and Incinerators Manufacturing",صناعة الأفران والمحارق للصناعة والمختبرات,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,manufacture of engines and Vehicles,صناعة العربات والمحركات,manufacture of engines and Vehicles,صناعة العربات والمحركات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04921,Non-Freezone,4711007,Industrial Cooperative Marketing,تسويق تعاوني صناعي,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-01624,Non-Freezone,2023007,Industrial Detergents Manufacturing,صناعةالمنظفات الصناعية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08650,Non-Freezone,6499002,"Industrial Enterprises Investment, Institution and Management",الاستثمار في المشروعات الصناعية و تأسيسها و ادارتها,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,Investment,الإستثمار,Investment,الإستثمار,"Includes firms and holding companies formed in order to invest their funds through the establishment of subsidiary firms which carry out various industrial, extraction or converting activities, or by the investment of their funds through the shareholding in such projects. This also includes the management of such subsidiary companies and the organization of their affairs.",يشمل المؤسسات والشركات القابضة (المهيمنة) التي تؤسس بغرض إستثمار أموالها عن طريق تأسيس المشروعات التابعة التي تزاول الأنشطة الصناعية الإستخراجية أو التحويلية أو بإستثمار أموالها عن طريق المساهمة في تلك المشروعات كما يشمل نشاط هذه المؤسسات إدارة مؤسساتها التابعة وتنظيم شؤونها.,,"Proof of Funds proving that the investable / liquid assets exceeds 500k US Dollars (Can be either a bank confirmation letter, or an auditor or lawyer confirmation letter, and the letter should be current dated within last 60 days)"
AM-04656,Non-Freezone,6499002,"Industrial Enterprises Investment, Institution and Management",الاستثمار في المشروعات الصناعية و تأسيسها و ادارتها,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,"Proof of Funds proving that the investable / liquid assets exceeds 500k US Dollars (Can be either a bank confirmation letter, or an auditor or lawyer confirmation letter, and the letter should be current dated within last 60 days)"
AM-06599,Freezone,64990-02,"Industrial Enterprises Investment, Institution and Management",الاستثمار في المشروعات الصناعية و تأسيسها و ادارتها,Active,,Commercial,تجارية,ESR,Low,,Special,"10,000",Investment,الإستثمار,,,"Activity Not Allowed for Flexi Units.Includes firms and holding companies formed in order to invest their funds through the establishment of subsidiary firms which carry out various industrial, extraction or converting activities, or by the investment of their funds through the shareholding in such projects. This also includes the management of such subsidiary companies and the organization of their affairs.",شمل المؤسسات والشركات القابضة (المهيمنة) التي تؤسس بغرض إستثمار أموالها عن طريق تأسيس المشروعات التابعة التي تزاول الأنشطة الصناعية الإستخراجية أو التحويلية أو بإستثمار أموالها عن طريق المساهمة في تلك المشروعات كما يشمل نشاط هذه المؤسسات إدارة مؤسساتها التابعة وتنظيم شؤونها,,"Business Plan to be Reviewed and Approved by Sales Director Proof of Funds proving that the investable / liquid assets exceeds 500k US Dollars (Can be either a bank confirmation letter, or an auditor or lawyer confirmation letter, and the letter should be current dated within last 60 days.'Mandatory RAKEZ Visa within 6 months of the License Issuance""."
AM-06600,Non-Freezone,4100009,Industrial Establishment Building Contracting,مقاولات بناء المنشأت الصناعية,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial1,,,,,,,
AM-01304,Non-Freezone,8129002,Industrial Facilities Cleaning Services,خدمات تنظيف المنشآت الصناعية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-08260,Non-Freezone,7120013,Industrial Facilities’ Installations Inspection Engineering services,خدمات هندسة الكشف على تجهيزات المنشآت الصناعية,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Consulting - Engineering and Architecture,الإستشارات - الهندسة والعمارة,,,,,,
AM-04542,Non-Freezone,6492002,Industrial Financing,تمويل صناعي,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,UAE Central Bank
AM-02524,Non-Freezone,100514906,Industrial Gas Trading,تجارة الغازات الصناعية,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-04185,Non-Freezone,100659902,Industrial Holding Companies,الإستثمار في المشروعات الصناعية وتأسيسها وإدارتها,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-02002,Non-Freezone,100742205,Industrial Installations Inspection Consultancies,إستشارات الكشف على الإنشاءات والتجهيزات الصناعية,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
